Sale Type,SKU,Name,Summer - Sale Price DR,Summer - Sale Price TW,Summer - Sale Price OR
Overstock,Axial54/180-W,(DC) DQ Heating Axial White Heated Towel Rail Radiator - 1780 x 540mm,404.99,404.99,404.99
Overstock,TOR2-147/6V-A,DQ Heating Tornado Double Panel Mild Steel Vertical Designer Radiator - Anthracite Texture - 1471x456,659.99,659.99,659.99
Overstock,10075og,(DC) iGlass 6mm Glass Splashback - 1000mm x 750mm - Orange,184.99,184.99,
Overstock,BLANCO526201,Blanco Select II 50/2 38 litre 2 Container Waste Organiser for 500mm Kitchen Cabinets,,269.99,
Overstock,EPPR-50-0545,Abacus Lustrolite Glass-Effect Flush Plates - Mocha,94.99,94.99,
Overstock,WAVE-CB,(DC) Reginox Wave Midnight Sky Stainless Steel Sink,,299.99,
Overstock,AOHRCPUK,Methven Aurajet Aio Hi-Rise Shower Head - Chrome,199.99,199.99,
Overstock,ARCV23-CHR,Arcade Chrome Soap Basket for Vertical Riser,35.99,35.99,39.99
Overstock,CH/192/C,Sagittarius Churchman Concealed Thermostatic Shower Valve,264.99,264.99,299.99
Overstock,BTSVT004,Hudson Reed Black Topaz Twin Concealed Thermostatic Shower Valve With Diverter - Chrome/Black,234.99,234.99,264.99
Overstock,T3,Burlington Trent Birkenhead Valve Handle (Pair),41.99,41.99,44.99
Overstock,TRL002T,Crosswater Tranquil Halo Light - Slate,129.99,129.99,144.99
Overstock,NOT-109FS/A-220-C/P,Vado Notion Wall Mounted Single Lever Basin Mixer with Extended Spout 220mm,289.99,289.99,289.99
Overstock,115.788.21.2,Geberit Metal Sigma50 Dual Flush Plate - Gloss Chrome,344.99,344.99,324.99
Overstock,PRDBC1000,(DC) Crosswater Design+ Matt Black 6mm Easy Clean Hinged Shower Door - 1000mm,824.99,824.99,784.99
Overstock,HOX.054CP,Britton Bathrooms Hoxton Toilet Brush Holder - Chrome,56.99,56.99,54.99
Overstock,PHO-185-C/P,Vado Photon Clear Glass Shelf,99.99,99.99,104.99
Overstock,PK328,Hudson Reed Round Wall Mounted Basin/Bath Filler,134.99,134.99,134.99
Overstock,FLR001,Chestnut Finish Vinyl Plank Flooring 12 Piece Pack - Approx. 2.65m²,64.99,64.99,64.99
Overstock,TAP249L,(DC) Harbour Status Chrome Wall Mounted Bath Mixer Tap,119.99,119.99,119.99
Overstock,LL.3000.LLB2,Origins Living Metro Wall/Mirror Light - Black,59.99,59.99,59.99
Overstock,NCS830,Richmond Bidet 1TH - (Butler & Rose Catherine),164.99,164.99,164.99
"Overstock, Hero - Big Discount",AURA-800x600,Aura LED Mirror with Demister Pad & Shaver Socket - 800 x 600mm (Harbour Clarity),209.99,209.99,209.99
Overstock,TFVIBBMBG,The Tap Factory Vibrance Brushed Brass Mono Basin Mixer and Basin Waste,154.99,154.99,154.99
Overstock,TVS00001800076,Villeroy & Boch Universal Exposed Square Thermostatic Shower Mixer - Brushed Gold,349.99,349.99,329.99
Overstock,GRE113BB,Britton Bathrooms Greenwich 2 Tap Hole Bath Shower Mixer - Brushed Brass,289.99,289.99,289.99
"Overstock, Hero - Big Discount",BYTAPSET8,The Tap Factory Vanto Filtered Cold & Instant Boiling Water Tap with WRAS-Approved Boiler & Filter - Matt Black,,449.99,449.99
Overstock,FNTBAS,Flova Fusion Tall Mono Basin Mixer with Clicker Waste,269.99,269.99,269.99
Overstock,DEC181BBL,Just Taps Decor Single Lever Mono Kitchen Mixer Tap - Gunmetal,,179.99,
Overstock,DEC181MB,Just Taps Decor Single Lever Mono Kitchen Mixer Tap - Matt Black,,179.99,
"Overstock, Hero - Big Discount",MIRROR006,Vellamo LED Illuminated Universal Bathroom Mirror with Demister Pad - 700mm x 500mm (Vivid),134.99,134.99,134.99
Overstock,TFVIBTAP2BK-RED,(DC) The Tap Factory Vibrance 2 Black Twin Lever Mono Kitchen Mixer with Post Box Red Handles,,134.99,134.99
Overstock,NATMALIN12,Drench Naturals Matt Stone PVC Waterproof Bathroom Wall Panel - 1000 x 2400mm,89.99,89.99,"89,999.99"
Overstock,WIND003,Vellamo Breeze Bath Filler Tap,89.99,89.99,89.99
Overstock,QUB3418R/,(DC) Rangemaster Atlantic Quad 1.5 Bowl Stainless Steel Undermount Sink & Waste Kit - Right Hand Half Bowl - 600 x 450mm,,399.99,414.99
Overstock,LHFPGW-L,L-Shaped Furniture Package - Gloss White - Left Hand,249.99,249.99,264.99
Overstock,LISK,"Flova Liberty Mini Shower Kit with Handset, Wall Bracket & Hose - Chrome",74.99,74.99,79.99
Overstock,BETA-007,(DC) Vellamo Venta Single Towel Rail 365mm,19.99,19.99,21.99
Overstock,VELWONDER-500X750-BLK,(DC) Vellamo Wonder Hexagonal Matt Black Framed Mirror - 500 x 750mm,74.99,74.99,134.99
Overstock,VELWONDER-500X750-BB,-,79.99,79.99,
Overstock,TCK-086-1200,Thermogroup Vario EZ Cable Kit 12 Exc. 5259 Tstat - No thermostat,294.99,294.99,574.99
Overstock,H919,(DC) Drench Brushed Nickel Double G Bar Furniture Handle - 160mm Centres,9.99,9.99,12.99
Overstock,CW3,Burlington Bath Shallow P Trap,49.99,49.99,64.99
Overstock,B004730.origins,Origins Living Modena Mirror - 650 x 900,299.99,299.99,354.99
Overstock,PRO021T,Crosswater MPRO Single Robe Hook - Slate,44.99,44.99,54.99
Overstock,RAD/872/C,(DC) Sagittarius Camden Thermostatic Corner Radiator Valve - Chrome,69.99,69.99,69.99
Overstock,BL350WC_LV,Crosswater Belgravia Lever Wall Stop Taps,196.99,196.99,224.99
Overstock,TGERANT01,(DC) Terma Artistic Regulating TRV Set With Handle For Cast Iron Radiators,184.99,184.99,199.99
Overstock,KINGSTTRVN,EliteHeat Thermostatic TRV Straight Valve - Nickel (Kingston),129.99,129.99,139.99
Overstock,TAB-148/2-NOT-C/P,Vado Notion Vertical Concealed 2 Outlet Thermostatic Shower Valve,499.99,499.99,534.99
Overstock,131464,(DC) Sonia S7 33cm Towel Rail,89.99,89.99,89.99
Overstock,LUNAR60,Lunar LED Mirror with Demister Pad - 600mm (Harbour Glow),179.99,179.99,179.99
"Overstock, Hero - Big Discount",MONO-500x700,Vellamo LED Illuminated Mirror with Demister Pad & Colour Change LEDs - 700 x 500mm,179.99,179.99,179.99
Overstock,AN3HBF,Flova Annecy 3 Hole Bath Mixer,359.99,359.99,359.99
"Overstock, Hero - Big Discount",TIS3102,LED Double Door Bathroom Mirror Cabinet with Shaver Socket - 600 x 700mm (Harbour Icon),359.99,359.99,359.99
Overstock,WGBUK065050-KBRAZX,Terma Bookie Heated Towel Rail - 655 x 500mm - Brass,544.99,544.99,514.99
Overstock,KI017,Flova Urban Dual Function Air-In Rainshower Head With Waterfall Shower Set,494.99,494.99,494.99
Overstock,SLATINST02,Drench Naturals Slatted Wood Panel Installation Pack - 3 Panels,33.99,33.99,"89,999.99"
Overstock,CH/573/G,Sagittarius Churchmans Exp D/Control Thermo Shower Gold (CH-191-G),594.99,594.99,594.99
Overstock,MIA-600X700-CAB,Mia LED Mirror Cabinet with Demister Pad & Shaver Socket - 600 x 700mm (Harbour Glow),414.99,414.99,414.99
Overstock,TSM-150-0600,Thermonet EZ 150 W/m2 - 12 x 0.5m,324.99,324.99,329.99
Overstock,LNGRID_MB,(DC) Crosswater Matt Black Shower Waste Grid,46.99,46.99,46.99
Overstock,LED-MIRROR001,Mosca LED Mirror with Demister Pad & Shaver Socket - 500 x 700mm (Harbour Glow),234.99,234.99,234.99
Overstock,CARD100LMC,Clearwater Carina 1 Bowl Mocha Granite Composite Sink & Chrome Waste with Reversible Drainer - 1000 x 500mm,,284.99,284.99
"Overstock, Hero - Big Discount",LED-MIRROR003,Mosca LED Mirror with Demister Pad & Shaver Socket - 1200 x 600mm (Harbour Glow),334.99,334.99,334.99
Overstock,SHA/384/G,Sagittarius Richmond 300mm Shower Head & Arm Gold (SH-367-G),479.99,479.99,479.99
Overstock,33M68WLBBR,HIX Rectangular Brushed Brass Framed Bathroom Mirror - 600 x 800mm,144.99,144.99,144.99
Overstock,38M68WLMB,HIX Rectangular Matt Black Framed Bathroom Mirror - 600 x 800mm,144.99,144.99,144.99
Overstock,WOODPANEL999,(DC) Harbour Indigo Blue 1800mm Vinyl Wrap Bath Panel,144.99,144.99,144.99
Overstock,WGROR180059-KTCOUC01,Terma Rolo Room Vertical or Horizontal Column Radiator - True Copper - 1800 x 590mm,569.99,569.99,569.99
Overstock,85690NK,Butler & Rose Caledonia Lever Vertical Concealed 2 Outlet 3 Handle Shower Valve - Nickel,489.99,489.99,489.99
Overstock,TFVIBVALVESET-BG,The Tap Factory Vibrance Brushed Brass WRAS Approved Concealed Thermostatic Shower Valve with Fixed Shower Head and Shower Hands,489.99,489.99,489.99
Overstock,TFVIBBFBG,The Tap Factory Vibrance Brushed Brass Deck Mounted Bath Filler,199.99,199.99,199.99
Overstock,SMSHVO,Flova Smart Concealed Manual Shower Valve - 2 Outlet,204.99,204.99,204.99
Overstock,38M68MB,HIX LED Illuminated Matt Black Framed Mirror with Demister Pad & Colour Change Lights - 600 x 800mm,264.99,264.99,264.99
Overstock,PRO135DNW+,(DC) Crosswater MPRO 3 Hole Basin Mixer Tap - Matt White,264.99,264.99,264.99
Overstock,166855,Sonia S Cube Toilet Brush Set,84.99,84.99,84.99
Overstock,P001MB,Just Taps VOS Round Overflow Cover - Matt Black,10.99,10.99,10.99
Overstock,WBS/428/C,"Sagittarius Basin Waste, Spring Loaded (Unslotted) (WA/428/C)",10.99,10.99,10.99
Overstock,BEL800BBL,EliteHeat Ladder Heated Towel Rail 25mm Bars - Brushed Black - 800 x 500mm (VOS),164.99,164.99,
Overstock,TGETTWINP-KBRA,Terma Vario Twins Brass All In One Integrated 50mm Angled Valves with Pipe Masking Set - Right,204.99,204.99,204.99
Overstock,LUNAR80,Lunar LED Mirror with Demister Pad - 800mm (Harbour Glow),224.99,224.99,224.99
Overstock,H195,Drench Brushed Brass Bold D Bar Furniture Handle - 128mm Centres,11.99,11.99,11.99
Overstock,131525,(DC) Sonia S7 63cm Towel Rail,114.99,114.99,114.99
Overstock,IF_HANDLEC,Crosswater Infinity Chrome Handle - 263mm,32.99,32.99,32.99
Overstock,LIF-140-C/P,Vado Life Wall Mounted Bath Spout,99.99,99.99,99.99
Overstock,FA5F11-S,Aeon Fatih Stainless Steel Vertical Designer Heated Towel Rail Radiator - Brushed - 1110x500,879.99,879.99,879.99
Overstock,BLANCO524110,Blanco Subline 500-IF White Silgranit Composite Kitchen Sink & Waste with Steel Frame - 543 x 443mm,,649.99,649.99
Overstock,PRI0202M,Crosswater MPRO Industrial Bath Clicker Waste & Overflow - Carbon Black,109.99,109.99,104.99
Overstock,UB250U,Crosswater Union 250mm Fixed Shower Head - Brushed Brass,284.99,284.99,284.99
Overstock,LIF-147A-C/P,Vado Life Wall Mounted Concealed Manual Valve with Diverter,204.99,204.99,189.99
Overstock,ZOO-SFMK-C/P,Vado Zoo Single Function Mini Shower Kit,104.99,104.99,99.99
Overstock,7810-13,(DC) Gedy Maine Tumbler Holder,33.99,33.99,-0.01
Overstock,HAM600M.MC,Roper Rhodes Hampton Mirror - Mocha,134.99,134.99,-0.01
Overstock,WIL150,Caple Wiltshire 1.5 Bowl White Ceramic Kitchen Sink with Reversible Drainer - 1010 x 525mm,,274.99,-0.01
Overstock,T175002,(DC) Roper Rhodes Sign Tall Waterfall Basin Mixer with Clicker Waste,264.99,264.99,-0.01
Overstock,ORIUN7602CH/,Rangemaster Oridian Undermount 2 Bowl Igneous Granite Composite Kitchen Sink & Waste Kit - 760 x 435mm - Charcoal,,314.99,-0.01
Overstock,ORIUN7602CO/,Rangemaster Oridian Undermount 2 Bowl Igneous Granite Composite Kitchen Sink & Waste Kit - 760 x 435mm - Concrete,,314.99,-0.01
Overstock,AT1199,Abode Stalto Professional Mono Pull Out Spray Kitchen Tap - Stainless Steel,,529.99,-0.01
Overstock,CPWDS762,Caple Large Single Bowl Farmhouse White Ceramic Kitchen Sink - 762 x 457mm,,774.99,-0.01
Overstock,GEO4TIDMB/,Rangemaster Geo Intense 4-in-1 Boiling Water Tap with Boiler - Matt Black,,679.99,-0.01
Overstock,CSB29SS,"Caple Stainless Steel Strainer Bowl for Cubit, Mode, Nada & Zero Kitchen Sinks",,94.99,-0.01
Overstock,IMC800EP,Imex Cast 800mm Reinforced End Panel,69.99,69.99,-0.01
Overstock,EPPR-50-0520,Abacus Lustrolite Glass-Effect Flush Plates - Carbon,104.99,104.99,-0.01
Overstock,EPPR-50-0543,Abacus Lustrolite Glass-Effect Flush Plates - Blue Atoll,104.99,104.99,-0.01
Overstock,EPPR-50-0547,Abacus Lustrolite Glass-Effect Flush Plates - Forest,104.99,104.99,-0.01
Overstock,AT1100,Abode Handspray Pull Out Rinse - Chrome,,119.99,-0.01
Overstock,VELBLOX08,Vellamo Blox Bath Shower Mixer Kit - Chrome,119.99,119.99,-0.01
Overstock,KIT704CIUD,(DC) Vellamo Kaffe 3-in-1 Instant Hot Water Tap with Boiler & Filter Unit - Copper,,459.99,-0.01
Overstock,66370,(DC) Twiggy 60cm Towel Rail (Drench David),54.99,54.99,
Overstock,9522.02,Roper Rhodes Glide Towel Ring,74.99,74.99,
Overstock,TVA15200500076,Villeroy & Boch Elements Striking 209mm Brushed Gold Towel Rail,104.99,104.99,-0.01
Overstock,TVW11200300061,Villeroy & Boch Subway 3.0 Chrome Mono Basin Mixer Tap,204.99,204.99,-0.01
Overstock,5656HR01,Villeroy & Boch Avento Rimless Wall Hung Toilet & Soft Close Seat,354.99,354.99,
Overstock,158.074,Eastbrook Offset Quadrant Left Hand Volente Tray - 900 x 700,229.99,229.99,
Overstock,8516.02,Roper Rhodes Ignite Frosted Glass Tumbler & Holder,37.99,37.99,
Overstock,GUSHOWERPACKSQ1L,Burlington Guild Brushed Nickel Concealed Thermostatic Shower Valve with & Slide Rail Kit,709.99,709.99,-0.01
Overstock,8703MP1,Miller Bond Tumbler Holder - Brushed Brass,46.99,46.99,-0.01
Overstock,BR-BEL-MB02,(DC) Butler & Rose Soft Black Ceramic Fireclay Double Belfast Kitchen Sink - 795 x 500mm,,324.99,-0.01
Overstock,58.041,Eastbrook Volente Frosted Hinged Shower Door 1000mm,594.99,594.99,-0.01
Overstock,CBQUILTBWTCP-BLUE,The Tap Factory Quilt Tube Chrome Pull Out Spray Boiling Water Kitchen Mixer with Filtered Cold Drinking Water & Salamanca Blue,,764.99,-0.01
Overstock,IMPQSE13X7,Imex Premiercast Multi Layer Reinforced Quadro Small Single Ended Bath (inc leg pack) - 1300mm x 700mm,314.99,314.99,-0.01
"Overstock, Hero - Big Discount",IMPQSE14X7,Imex Premiercast Multi Layer Reinforced Quadro Small Single Ended Bath (inc leg pack) - 1400mm x 700mm,314.99,314.99,-0.01
"Overstock, Hero - Big Discount",IMPQSE15X7,Imex Premiercast Multi Layer Reinforced Quadro Small Single Ended Bath (inc leg pack) - 1500mm x 700mm,314.99,314.99,-0.01
"Overstock, Hero - Big Discount",BR-BEL-MB01,(DC) Butler & Rose Soft Black Ceramic Fireclay Belfast Kitchen Sink with Weir Overflow - 595 x 455mm,,269.99,
Overstock,K226,Smedbo Villa Towel Rail with Swing Arm - Chrome,89.99,89.99,
"Overstock, Hero - Big Discount",3701,(DC) Imperial soap dish (Elliot Soap Dish - Chrome),32.99,32.99,
"Overstock, Hero - Big Discount",S15-Black,(DC) Sanimaid Paris Hygienic Toilet Cleaner & Wall Holder - Black,24.99,24.99,
